RNASeq_sample_ID,six_gene_panel,mhcii_cd74_axis,hla_dr_core,myeloid_inflammatory,immunometabolic_stress,adaptive_t_cell_context,base_participant_timepoint_id,rna_decoupling_index_six_minus_mhcii,rna_decoupling_index_myeloid_minus_mhcii
N00017-Ja003T-TRGa,0.9001022390384162,-1.716389118913716,-1.870542389042419,-0.1761998272877126,1.1489780137566143,-2.125041046235293,N00017-Ja003,2.6164913579521323,1.5401892916260032
N00018-Ja003T-TRGa,1.5240841640628648,-1.715825519272442,-2.277681100415147,0.5133851123147433,1.1326735084308337,-1.3997314747906329,N00018-Ja003,3.2399096833353065,2.229210631587186
N00021-Ja001T-TRGa,1.5623292113644895,-0.9128265726341112,-1.0023410020214365,0.6450617371943242,1.3235186987598182,-0.952402636485425,N00021-Ja001,2.4751557839986007,1.5578883098284355
N00006-Ja003T-TRGa,-0.4711668102910893,-0.2293648191434726,-0.3529639890970263,-0.0464687634795559,-0.3074754936072944,0.5097958820103512,N00006-Ja003,-0.2418019911476167,0.1828960556639166
N00008-Ja003T-TRGa,0.2955086176716732,0.4215624017255772,0.4432807898115425,0.5459161866213984,0.5094991359901547,-0.5357890630384533,N00008-Ja003,-0.126053784053904,0.1243537848958212
N00015-Ja003T-TRGa,1.1044264086180189,-0.8723959373783281,-1.064002076210702,0.5580801146302543,1.1527780073254477,-0.618406661849626,N00015-Ja003,1.976822345996347,1.4304760520085824
N00023-Ja003T-TRGa,1.4833833071773397,-2.7374437022519307,-2.9637349959073167,-0.161950385937333,1.2339093519981768,-1.9226590852832424,N00023-Ja003,4.220827009429271,2.5754933163145974
N00024-Ja001T-TRGa,1.5773820071376663,-1.250509216203243,-1.3021044356683948,0.0648863107640985,0.6691445793794956,-0.8203456376521423,N00024-Ja001,2.8278912233409095,1.3153955269673416
G05064-Ja005T-TRGa,-1.334946477473628,1.0655698706007075,0.9691719163221064,-0.9593950843711804,-0.899311326855344,1.4263216521553792,G05064-Ja005,-2.4005163480743357,-2.024964954971888
G05061-Ja005T-TRGa,-1.1852536574643078,0.830196659746576,0.5924714769448544,-0.4746883800055319,-0.7402718565662522,0.760938796601778,G05061-Ja005,-2.0154503172108837,-1.304885039752108
G05073-Ja005T-TRGa,-1.197610111985918,1.1621121956723433,1.2914559237153682,-0.834011117059879,-0.7974816525040934,1.4176239648721642,G05073-Ja005,-2.359722307658261,-1.9961233127322224
G05077-Ja005T-TRGa,-0.912918447644233,1.3704226760555032,1.4086783164001446,-0.7717047383375982,-0.743532594110716,0.9338586564690724,G05077-Ja005,-2.2833411236997363,-2.1421274143931015
G05078-Ja005T-TRGa,-0.8923658867931642,1.4003836585734486,1.1400843987509763,-0.3664160699280664,-0.5752775703781458,1.006379643952891,G05078-Ja005,-2.292749545366613,-1.766799728501515
G05097-Ja005T-TRGa,-1.0994461346317357,1.2146106370099934,1.199374122705487,-0.7373525107102286,-0.982184448668823,0.8286665199801929,G05097-Ja005,-2.314056771641729,-1.951963147720222
G05092-Ja005T-TRGa,-1.1346537703846011,0.9205637600366596,0.8136709963582986,-0.9559613719055672,-1.131234774483891,1.0583281235993696,G05092-Ja005,-2.0552175304212605,-1.876525131942227
G05112-Ja005T-TRGa,-1.1422242058758174,1.0878219006841,1.30326819676288,-0.7889757990474677,-0.644917647655795,1.2230736979458177,G05112-Ja005,-2.2300461065599175,-1.876797699731568
G05105-Ja005T-TRGa,-1.2119033989923522,0.9349031036941036,1.0270747314700177,-0.7434561283608244,-1.0037021137920292,1.1742299159775682,G05105-Ja005,-2.146806502686456,-1.678359232054928
G05171-Ja005T-TRGa,-1.367357906834682,1.148344805362901,1.124766542128647,-1.2972400684502412,-0.9131474999224904,1.2774381400382504,G05171-Ja005,-2.515702712197583,-2.445584873813142
G05153-Ja005T-TRGa,-1.2052487296461625,1.0764434759675352,1.1301836946850845,-0.6368716045432238,-0.933194751617482,1.30357108386108,G05153-Ja005,-2.2816922056136972,-1.713315080510759
G05164-Ja005T-TRGa,-1.1195323696847284,1.0560709655436602,1.1947154415003125,-0.7395064813544342,-0.8484861875276215,1.2792866642587402,G05164-Ja005,-2.175603335228389,-1.7955774468980945
G05145-Ja005T-TRGa,-1.1034782126796858,1.079982375274023,1.104100833903071,-0.9444886236956976,-1.0519802170502754,1.1588266319557954,G05145-Ja005,-2.183460587953709,-2.0244709989697203
S00002-Ja001T-TRGa,-0.1768545385884986,0.520446358499342,0.6283999746610348,0.1431014324226715,-0.0997954042272487,1.17614596413791,S00002-Ja001,-0.6973008970878406,-0.3773449260766704
S00003-Ja003T-TRGa,-1.1800481838173846,0.9476067319741946,0.8812981781396152,-1.1683521333428848,-0.9560669619768346,1.3486229416853133,S00003-Ja003,-2.127654915791579,-2.1159588653170793
S00005-Ja003T-TRGa,-0.1598097201077443,-0.504557678717451,-0.7061961097110663,0.1226377879135284,0.44344386113065,-0.1547675951935004,S00005-Ja003,0.3447479586097066,0.6271954666309795
S00005-Ja005T-TRGa,-0.0124391487159878,-0.962685912062104,-1.0807154481763268,-0.3317073363949566,0.1729300085240552,0.3994761564687468,S00005-Ja005,0.9502467633461162,0.6309785756671474
S00007-Ja003T-TRGa,0.4489017204305614,-0.2992223452772264,0.377449974548796,0.3779401399564698,0.4764430789670051,0.1368718397111996,S00007-Ja003,0.7481240657077879,0.6771624852336963
S00008-Ja003T-TRGa,0.4816355757660915,-0.2145796325448057,-0.2316552531546379,0.7634807457356131,0.7051547577534398,-0.2179354162825157,S00008-Ja003,0.6962152083108973,0.9780603782804188
S00109-Ja001T-TRGa,0.5443681694919049,0.0624374067874239,0.4375149339999166,0.7064626871538923,0.49213509245618,-0.3627659411955699,S00109-Ja001,0.4819307627044809,0.6440252803664683
S00109-Ja005T-TRGa,-0.2791836286175416,-0.0180617019201841,-0.0005860483292945,-0.0062025427162499,-0.125390719721931,-0.4275958968468344,S00109-Ja005,-0.2611219266973574,0.0118591592039342
