analysis_scope,correlation_method,rna_metric,flow_metric,n,spearman_rho,p_value_asymptotic_normal_approx,analysis_groups,bh_fdr,claim_use
all_group_residualized,spearman_rank_residualized_on_analysis_group,rna_decoupling_index_six_minus_mhcii,double_event_cd33_pos_fraction,128,0.2311384266548721,0.0106797237202134,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.0411164502425645,supporting_if_replicated
all_group_residualized,spearman_rank_residualized_on_analysis_group,rna_decoupling_index_six_minus_mhcii,double_event_cd11c_pos_fraction,128,0.0706256869318572,0.4353401332462607,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.5571038823942349,exploratory
all_group_residualized,spearman_rank_residualized_on_analysis_group,rna_decoupling_index_six_minus_mhcii,double_event_cd16_pos_fraction,128,0.0452446924670651,0.6172553729056913,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.7085980962504798,exploratory
all_group_residualized,spearman_rank_residualized_on_analysis_group,rna_decoupling_index_six_minus_mhcii,double_event_cd38_pos_fraction,128,0.2238847011412307,0.0134026382293329,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.0490153626672749,supporting_if_replicated
all_group_residualized,spearman_rank_residualized_on_analysis_group,rna_decoupling_index_myeloid_minus_mhcii,cd3_cd14_double_fraction,129,-0.2946790769882355,0.0010825333554655,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.0069282134749794,supporting_if_replicated
all_group_residualized,spearman_rank_residualized_on_analysis_group,rna_decoupling_index_myeloid_minus_mhcii,cd3_cd14_abundance_normalized,129,0.2386776062514067,0.0081194295845654,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.0352300673499787,supporting_if_replicated
all_group_residualized,spearman_rank_residualized_on_analysis_group,rna_decoupling_index_myeloid_minus_mhcii,cd3_cd14_hmean_enrichment_exclusive,129,-0.0282173156970221,0.7543223192964132,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.8078109775230179,exploratory
all_group_residualized,spearman_rank_residualized_on_analysis_group,rna_decoupling_index_myeloid_minus_mhcii,double_event_hla_dr_pos_fraction,128,0.1024231422125466,0.2579285993650432,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.3770361556399277,exploratory
all_group_residualized,spearman_rank_residualized_on_analysis_group,rna_decoupling_index_myeloid_minus_mhcii,double_event_cd33_pos_fraction,128,0.1904393153921517,0.0354246185594777,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.0900592693766276,supporting_if_replicated
all_group_residualized,spearman_rank_residualized_on_analysis_group,rna_decoupling_index_myeloid_minus_mhcii,double_event_cd11c_pos_fraction,128,0.0343440042385185,0.7044339699400693,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.777306449589042,exploratory
all_group_residualized,spearman_rank_residualized_on_analysis_group,rna_decoupling_index_myeloid_minus_mhcii,double_event_cd16_pos_fraction,128,-0.0402248240518654,0.6568273613665253,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.734269888689216,exploratory
all_group_residualized,spearman_rank_residualized_on_analysis_group,rna_decoupling_index_myeloid_minus_mhcii,double_event_cd38_pos_fraction,128,0.2206296161887748,0.0148123923788977,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.0526662840138587,supporting_if_replicated
