analysis_scope,correlation_method,rna_metric,flow_metric,n,spearman_rho,p_value_asymptotic_normal_approx,analysis_groups,bh_fdr,claim_use
sepsis_only_unadjusted,spearman_rank,hla_dr_core,double_event_cd33_pos_fraction,40,-0.208431149445107,0.1930353371602871,Sepsis,0.3031720632701442,exploratory
sepsis_only_unadjusted,spearman_rank,hla_dr_core,double_event_cd11c_pos_fraction,40,0.0837052412510718,0.6011558497624244,Sepsis,0.7059444841246819,exploratory
sepsis_only_unadjusted,spearman_rank,hla_dr_core,double_event_cd16_pos_fraction,40,-0.247173706760319,0.1226854337568523,Sepsis,0.227590369867784,exploratory
sepsis_only_unadjusted,spearman_rank,hla_dr_core,double_event_cd38_pos_fraction,40,-0.2145069053746071,0.1803769869194633,Sepsis,0.2898014761217776,exploratory
sepsis_only_unadjusted,spearman_rank,myeloid_inflammatory,cd3_cd14_double_fraction,40,-0.0883677298311444,0.581046813479789,Sepsis,0.6918510895387255,exploratory
sepsis_only_unadjusted,spearman_rank,myeloid_inflammatory,cd3_cd14_abundance_normalized,40,-0.3195121951219513,0.0460043911181008,Sepsis,0.1090474456132759,exploratory
sepsis_only_unadjusted,spearman_rank,myeloid_inflammatory,cd3_cd14_hmean_enrichment_exclusive,40,-0.2579737335834897,0.1071698166356291,Sepsis,0.2047423362591124,exploratory
sepsis_only_unadjusted,spearman_rank,myeloid_inflammatory,double_event_hla_dr_pos_fraction,40,0.1260528817624148,0.4311648005782603,Sepsis,0.5571038823942349,exploratory
sepsis_only_unadjusted,spearman_rank,myeloid_inflammatory,double_event_cd33_pos_fraction,40,0.1475877140445018,0.3566929180231294,Sepsis,0.4805967737574797,exploratory
sepsis_only_unadjusted,spearman_rank,myeloid_inflammatory,double_event_cd11c_pos_fraction,40,0.1178319534259142,0.4618157116370956,Sepsis,0.5739069037820218,exploratory
sepsis_only_unadjusted,spearman_rank,myeloid_inflammatory,double_event_cd16_pos_fraction,40,-0.122296388244463,0.4450217815479493,Sepsis,0.5571038823942349,exploratory
sepsis_only_unadjusted,spearman_rank,myeloid_inflammatory,double_event_cd38_pos_fraction,40,0.2403115418479303,0.1334215038124002,Sepsis,0.2422404608225138,exploratory
sepsis_only_unadjusted,spearman_rank,immunometabolic_stress,cd3_cd14_double_fraction,40,-0.2328330206378987,0.145934732113516,Sepsis,0.2612537861612594,exploratory
sepsis_only_unadjusted,spearman_rank,immunometabolic_stress,cd3_cd14_abundance_normalized,40,0.1705440900562852,0.2868544347081024,Sepsis,0.4034875565124957,exploratory
sepsis_only_unadjusted,spearman_rank,immunometabolic_stress,cd3_cd14_hmean_enrichment_exclusive,40,0.0253283302063789,0.8743186101683853,Sepsis,0.8953022568124266,exploratory
sepsis_only_unadjusted,spearman_rank,immunometabolic_stress,double_event_hla_dr_pos_fraction,40,0.2509769317478529,0.1170328022738299,Sepsis,0.2219288694970404,exploratory
sepsis_only_unadjusted,spearman_rank,immunometabolic_stress,double_event_cd33_pos_fraction,40,0.42006458496393,0.0087081918868508,Sepsis,0.0365869615526191,supporting_if_replicated
sepsis_only_unadjusted,spearman_rank,immunometabolic_stress,double_event_cd11c_pos_fraction,40,0.2483666274946865,0.1208899198023066,Sepsis,0.2258964924773029,exploratory
sepsis_only_unadjusted,spearman_rank,immunometabolic_stress,double_event_cd16_pos_fraction,40,0.4101693800536699,0.0104219153799838,Sepsis,0.0411164502425645,supporting_if_replicated
sepsis_only_unadjusted,spearman_rank,immunometabolic_stress,double_event_cd38_pos_fraction,40,0.3844421659316558,0.0163574620552798,Sepsis,0.0558334704820218,supporting_if_replicated
sepsis_only_unadjusted,spearman_rank,adaptive_t_cell_context,cd3_cd14_double_fraction,40,0.276547842401501,0.0841603502581932,Sepsis,0.1723603973287797,exploratory
sepsis_only_unadjusted,spearman_rank,adaptive_t_cell_context,cd3_cd14_abundance_normalized,40,-0.5052532833020638,0.0016032999367378,Sepsis,0.0095452275303464,supporting_if_replicated
sepsis_only_unadjusted,spearman_rank,adaptive_t_cell_context,cd3_cd14_hmean_enrichment_exclusive,40,-0.1853658536585366,0.2470234775883307,Sepsis,0.3655376315757958,exploratory
