accession,gsm_id,immune_state,PC1_immune_decoupling_gradient,PC2,PC3
GSE28750,GSM712481,Decoupled inflammatory / MHC-II-low,2.7825217342452455,-0.6588279524441392,-0.2221188950742925
GSE28750,GSM712482,Decoupled inflammatory / MHC-II-low,2.0213376919744728,0.4030332490550506,-0.4206785480513437
GSE28750,GSM712483,Decoupled inflammatory / MHC-II-low,1.0623897569883094,1.720239496702308,1.8580735835019984
GSE28750,GSM712484,Decoupled inflammatory / MHC-II-low,2.065469971886688,-0.5018708953434681,-0.4908544692667937
GSE28750,GSM712485,Decoupled inflammatory / MHC-II-low,0.8972879863161898,-1.0152065353854736,-0.6099330457923103
GSE28750,GSM712486,Decoupled inflammatory / MHC-II-low,2.0589863374700244,-0.9846256888240668,-0.0259087129388163
GSE54514,GSM1317915,Decoupled inflammatory / MHC-II-low,1.9199604590951365,-1.042973568639751,0.611625125861349
GSE54514,GSM1317916,Decoupled inflammatory / MHC-II-low,2.1175527813323063,-0.0595889690382125,0.7198976253440623
GSE54514,GSM1317922,Decoupled inflammatory / MHC-II-low,0.5074139503680302,0.6679296506974959,1.8368362956806037
GSE54514,GSM1317947,Decoupled inflammatory / MHC-II-low,1.9598880355350976,-0.038621459077809,-1.0589580971357382
GSE54514,GSM1317949,Decoupled inflammatory / MHC-II-low,2.426906966097707,-0.1207475166948997,-0.3809584547329931
GSE54514,GSM1317950,Decoupled inflammatory / MHC-II-low,0.7863779620583051,1.1270559240668416,0.131767803929029
GSE54514,GSM1317951,Decoupled inflammatory / MHC-II-low,1.7490869645666194,-0.7238047505894623,-0.5464680107026748
GSE54514,GSM1317952,Decoupled inflammatory / MHC-II-low,1.4375583265799727,-0.6608417595232086,-0.2810624674156863
GSE54514,GSM1317954,Decoupled inflammatory / MHC-II-low,1.3920306087202825,-0.3548674847839507,-0.4909988396354786
GSE54514,GSM1317955,Decoupled inflammatory / MHC-II-low,0.9011673236485868,-0.5076403903169968,-0.2821706386066261
GSE54514,GSM1317956,Decoupled inflammatory / MHC-II-low,1.742193788372272,0.9808085967565132,0.1759880079306812
GSE54514,GSM1317958,Decoupled inflammatory / MHC-II-low,1.5649413958075138,0.92703189417676235,-0.0493186117451455
GSE54514,GSM1317962,Decoupled inflammatory / MHC-II-low,-0.174850857090101,0.7028749769077595,-0.6521157053540207
GSE54514,GSM1317964,Decoupled inflammatory / MHC-II-low,0.8320071894917942,-0.1145678656026902,0.74274897336632
GSE54514,GSM1317968,Decoupled inflammatory / MHC-II-low,0.4948462917470981,0.5390307259689355,-0.765496504797287
GSE154918,GSM4683539,MHC-II/adaptive preserved,-3.4393365719808666,1.0077500960833377,-0.6806496127947697
GSE154918,GSM4683543,MHC-II/adaptive preserved,-0.5191877908523812,1.2878202750894556,0.6675289948128902
GSE154918,GSM4683557,MHC-II/adaptive preserved,-2.7802789568428934,-0.666767723877768,-0.3182092878083857
GSE154918,GSM4683582,MHC-II/adaptive preserved,-4.104204580714937,-0.4301920787702908,0.3845170277067733
GSE154918,GSM4683583,MHC-II/adaptive preserved,-2.1291906490692405,1.0742536957890938,-0.2213544595931308
GSE154918,GSM4683587,MHC-II/adaptive preserved,-1.2040422588126425,0.6903596351216282,1.4251454481229096
GSE154918,GSM4683593,MHC-II/adaptive preserved,0.156151797713497,1.8462954774473148,0.7591318393510441
GSE154918,GSM4683594,MHC-II/adaptive preserved,-1.346795808903752,2.400383244891226,0.9919743448753056
GSE154918,GSM4683597,MHC-II/adaptive preserved,-3.631858764423209,-0.6110803597742509,0.289647392179886
GSE154918,GSM4683600,MHC-II/adaptive preserved,-2.2143409473223095,-0.6557521710390052,0.3468179601287973
GSE154918,GSM4683611,MHC-II/adaptive preserved,-2.9697688447696526,-0.175912524823244,1.1221896344454216
GSE134347,GSM3942706,MHC-II/adaptive preserved,-3.338422444007161,2.9966910494932466,0.4469669415758355
GSE134347,GSM3942713,MHC-II/adaptive preserved,-0.5779912445673163,1.1594567699916964,-0.9885762024761118
GSE134347,GSM3942731,MHC-II/adaptive preserved,-0.780664488648905,1.8225652901562968,-1.633243421886822
GSE134347,GSM3942746,MHC-II/adaptive preserved,-1.274572652801861,0.6461169869982674,-0.865569681091697
GSE134347,GSM3942748,MHC-II/adaptive preserved,-4.824673877089505,1.078570699331528,-0.9014344412234694
GSE134347,GSM3942749,MHC-II/adaptive preserved,-3.963750510376257,0.2135453059582882,-0.4247056762683354
GSE134347,GSM3942753,MHC-II/adaptive preserved,-2.7374423414193307,-0.2522078422258993,2.2430225293579653
GSE134347,GSM3942754,MHC-II/adaptive preserved,-0.4867933506557142,2.3614624655192196,-0.7216162806768884
GSE134347,GSM3942755,MHC-II/adaptive preserved,-0.4259159435155621,1.0616803771997871,-1.297634214706437
GSE134347,GSM3942757,MHC-II/adaptive preserved,-4.458028014061432,1.065604929643329,-0.4971527230941393
GSE134347,GSM3942760,MHC-II/adaptive preserved,-0.3419014680723156,1.4855152600332002,-0.979713881445253
GSE134347,GSM3942765,MHC-II/adaptive preserved,-1.1761186320418275,1.3563196113108762,-0.7560905549408159
GSE134347,GSM3942787,MHC-II/adaptive preserved,-2.001323544804657,0.05061092806587,-0.3009736834071401
GSE134347,GSM3942791,MHC-II/adaptive preserved,-0.7022667866209918,1.4146382222454628,-1.3381036484113409
GSE134347,GSM3942800,MHC-II/adaptive preserved,-5.506354353365965,5.517651317428917,-0.0962230778834648
GSE134347,GSM3942802,MHC-II/adaptive preserved,-2.248597102342788,-0.3139375135807632,-0.4202166407600971
GSE134347,GSM3942804,MHC-II/adaptive preserved,-0.4094513274824077,1.637265073730385,-1.0541302846109326
GSE134347,GSM3942806,MHC-II/adaptive preserved,-6.3337633578243535,-2.2269731389738228,-0.0166841496072674
GSE134347,GSM3942807,MHC-II/adaptive preserved,-0.4746818925522469,1.2764713517639767,1.220544986357081
GSE134347,GSM3942834,MHC-II/adaptive preserved,-1.6830950818110832,1.1009010555221557,0.1048967340985164
GSE134347,GSM3942838,MHC-II/adaptive preserved,-1.594020130281704,1.413765618086637,1.6057194802066246
GSE134347,GSM3942860,MHC-II/adaptive preserved,-1.2708557645668577,0.8421859371601323,0.1184215076561524
GSE134347,GSM3942861,MHC-II/adaptive preserved,-1.2553646058742152,1.8512638832746384,2.433349441558887
GSE134347,GSM3942866,MHC-II/adaptive preserved,-2.6094742052369253,-0.3044806399231,1.0518219106402316
GSE134347,GSM3942868,MHC-II/adaptive preserved,-1.9876453642627017,-0.4032662197914171,2.434240845078685
GSE134347,GSM3942874,MHC-II/adaptive preserved,-1.328131403085388,0.1807919857562667,1.4012881395580907
GSE134347,GSM3942875,MHC-II/adaptive preserved,-3.3332762823934963,-0.1458394238323215,1.435152017899016
GSE134347,GSM3942882,MHC-II/adaptive preserved,-2.783347408328304,0.4871941991353988,-0.0454153977781409
GSE134347,GSM3942914,MHC-II/adaptive preserved,-1.4192573048884285,0.3157939553542495,2.432158016692579
GSE134347,GSM3942917,MHC-II/adaptive preserved,-4.602045439926357,1.272398170090719,0.5563594466905671
GSE134347,GSM3942923,MHC-II/adaptive preserved,-1.4457907669066168,1.5387693071510269,0.5243899251865591
GSE134347,GSM3942924,MHC-II/adaptive preserved,-1.5944615085271008,0.2600177373835941,0.3688133254204893
GSE134347,GSM3942936,MHC-II/adaptive preserved,-2.3580774022599384,0.2055990947458853,1.5281791821066224
GSE134347,GSM3942937,MHC-II/adaptive preserved,-1.3650866622505855,2.017565785703982,1.047447761383886
GSE134347,GSM3942940,MHC-II/adaptive preserved,-0.987023803596458,0.9834292707260796,-0.9846004458144954
